Name,Code,Date,Open,Close,Coupon,Maturity
CAN 2.25 Mar 24,CA135087J546,2020-01-14,102.44,102.54,2.25,2024-03-01
CAN 2.25 Mar 24,CA135087J546,2020-01-13,102.55,102.46,2.25,2024-03-01
CAN 2.25 Mar 24,CA135087J546,2020-01-10,102.49,102.47,2.25,2024-03-01
CAN 2.25 Mar 24,CA135087J546,2020-01-09,102.42,102.53,2.25,2024-03-01
CAN 2.25 Mar 24,CA135087J546,2020-01-08,102.72,102.68,2.25,2024-03-01
CAN 2.25 Mar 24,CA135087J546,2020-01-07,102.58,102.58,2.25,2024-03-01
CAN 2.25 Mar 24,CA135087J546,2020-01-06,102.79,102.75,2.25,2024-03-01
CAN 2.25 Mar 24,CA135087J546,2020-01-03,102.62,102.65,2.25,2024-03-01
CAN 2.25 Mar 24,CA135087J546,2020-01-02,102.22,102.52,2.25,2024-03-01
CAN 1.5 Sep 24,CA135087J967,2020-01-15,99.1,99.1,1.5,2024-09-01
CAN 1.5 Sep 24,CA135087J967,2020-01-14,98.99,98.99,1.5,2024-09-01
CAN 1.5 Sep 24,CA135087J967,2020-01-13,99.06,99.06,1.5,2024-09-01
CAN 1.5 Sep 24,CA135087J967,2020-01-10,99.03,99.03,1.5,2024-09-01
CAN 1.5 Sep 24,CA135087J967,2020-01-09,98.99,98.99,1.5,2024-09-01
CAN 1.5 Sep 24,CA135087J967,2020-01-08,99.25,99.25,1.5,2024-09-01
CAN 1.5 Sep 24,CA135087J967,2020-01-07,99.11,99.11,1.5,2024-09-01
CAN 1.5 Sep 24,CA135087J967,2020-01-06,99.29,99.29,1.5,2024-09-01
CAN 1.5 Sep 24,CA135087J967,2020-01-03,98.95,98.95,1.5,2024-09-01
CAN 1.5 Sep 24,CA135087J967,2020-01-02,98.72,98.72,1.5,2024-09-01
