Name,Code,Date,Open,Close,Coupon,Maturity
CAN 1.5 Mar 20,CA135087D929,2020-01-15,99.86,99.86,1.5,2020-03-01
CAN 1.5 Mar 20,CA135087D929,2020-01-14,99.86,99.86,1.5,2020-03-01
CAN 1.5 Mar 20,CA135087D929,2020-01-13,99.86,99.86,1.5,2020-03-01
CAN 1.5 Mar 20,CA135087D929,2020-01-10,99.86,99.86,1.5,2020-03-01
CAN 1.5 Mar 20,CA135087D929,2020-01-09,99.86,99.86,1.5,2020-03-01
CAN 1.5 Mar 20,CA135087D929,2020-01-08,99.86,99.86,1.5,2020-03-01
CAN 1.5 Mar 20,CA135087D929,2020-01-07,99.86,99.86,1.5,2020-03-01
CAN 1.5 Mar 20,CA135087D929,2020-01-06,99.86,99.86,1.5,2020-03-01
CAN 1.5 Mar 20,CA135087D929,2020-01-03,99.86,99.86,1.5,2020-03-01
CAN 1.5 Mar 20,CA135087D929,2020-01-02,99.85,99.85,1.5,2020-03-01
CAN 0.75 Sep 20,CA135087E596,2020-01-15,99.3,99.3,0.75,2020-09-01
CAN 0.75 Sep 20,CA135087E596,2020-01-14,99.28,99.28,0.75,2020-09-01
CAN 0.75 Sep 20,CA135087E596,2020-01-13,99.28,99.27,0.75,2020-09-01
CAN 0.75 Sep 20,CA135087E596,2020-01-10,99.28,99.28,0.75,2020-09-01
CAN 0.75 Sep 20,CA135087E596,2020-01-09,99.28,99.28,0.75,2020-09-01
CAN 0.75 Sep 20,CA135087E596,2020-01-08,99.28,99.28,0.75,2020-09-01
CAN 0.75 Sep 20,CA135087E596,2020-01-07,99.27,99.27,0.75,2020-09-01
CAN 0.75 Sep 20,CA135087E596,2020-01-06,99.29,99.28,0.75,2020-09-01
CAN 0.75 Sep 20,CA135087E596,2020-01-03,99.27,99.28,0.75,2020-09-01
CAN 0.75 Sep 20,CA135087E596,2020-01-02,99.24,99.26,0.75,2020-09-01
CAN 0.75 Mar 21,CA135087F254,2020-01-15,98.92,98.93,0.75,2021-03-01
CAN 0.75 Mar 21,CA135087F254,2020-01-14,98.9,98.9,0.75,2021-03-01
CAN 0.75 Mar 21,CA135087F254,2020-01-13,98.9,98.9,0.75,2021-03-01
CAN 0.75 Mar 21,CA135087F254,2020-01-10,98.92,98.88,0.75,2021-03-01
CAN 0.75 Mar 21,CA135087F254,2020-01-09,98.91,98.92,0.75,2021-03-01
CAN 0.75 Mar 21,CA135087F254,2020-01-08,98.94,98.92,0.75,2021-03-01
CAN 0.75 Mar 21,CA135087F254,2020-01-07,98.92,98.94,0.75,2021-03-01
CAN 0.75 Mar 21,CA135087F254,2020-01-06,98.97,98.95,0.75,2021-03-01
CAN 0.75 Mar 21,CA135087F254,2020-01-03,98.93,98.93,0.75,2021-03-01
CAN 0.75 Mar 21,CA135087F254,2020-01-02,98.87,98.89,0.75,2021-03-01
CAN 0.75 Sep 21,CA135087F585,2020-01-15,98.42,98.42,0.75,2021-09-01
CAN 0.75 Sep 21,CA135087F585,2020-01-14,98.39,98.41,0.75,2021-09-01
CAN 0.75 Sep 21,CA135087F585,2020-01-13,98.41,98.38,0.75,2021-09-01
CAN 0.75 Sep 21,CA135087F585,2020-01-10,98.43,98.43,0.75,2021-09-01
CAN 0.75 Sep 21,CA135087F585,2020-01-09,98.43,98.43,0.75,2021-09-01
CAN 0.75 Sep 21,CA135087F585,2020-01-08,98.47,98.46,0.75,2021-09-01
CAN 0.75 Sep 21,CA135087F585,2020-01-07,98.44,98.46,0.75,2021-09-01
CAN 0.75 Sep 21,CA135087F585,2020-01-06,98.49,98.49,0.75,2021-09-01
CAN 0.75 Sep 21,CA135087F585,2020-01-03,98.44,98.45,0.75,2021-09-01
CAN 0.75 Sep 21,CA135087F585,2020-01-02,98.34,98.41,0.75,2021-09-01
CAN 0.5 Mar 22,CA135087G328,2020-01-15,97.59,97.61,0.5,2022-03-01
CAN 0.5 Mar 22,CA135087G328,2020-01-14,97.56,97.58,0.5,2022-03-01
CAN 0.5 Mar 22,CA135087G328,2020-01-13,97.61,97.57,0.5,2022-03-01
CAN 0.5 Mar 22,CA135087G328,2020-01-10,97.66,97.61,0.5,2022-03-01
CAN 0.5 Mar 22,CA135087G328,2020-01-09,97.58,97.6,0.5,2022-03-01
CAN 0.5 Mar 22,CA135087G328,2020-01-08,97.64,97.64,0.5,2022-03-01
CAN 0.5 Mar 22,CA135087G328,2020-01-07,97.61,97.65,0.5,2022-03-01
CAN 0.5 Mar 22,CA135087G328,2020-01-06,97.73,97.66,0.5,2022-03-01
CAN 0.5 Mar 22,CA135087G328,2020-01-03,97.62,97.63,0.5,2022-03-01
CAN 0.5 Mar 22,CA135087G328,2020-01-02,97.47,97.57,0.5,2022-03-01
CAN 2.75 Jun 22,CA135087ZU15,2020-01-15,102.5,102.51,2.75,2022-06-01
CAN 2.75 Jun 22,CA135087ZU15,2020-01-14,102.45,102.47,2.75,2022-06-01
CAN 2.75 Jun 22,CA135087ZU15,2020-01-13,102.48,102.46,2.75,2022-06-01
CAN 2.75 Jun 22,CA135087ZU15,2020-01-10,102.52,102.52,2.75,2022-06-01
CAN 2.75 Jun 22,CA135087ZU15,2020-01-09,102.52,102.52,2.75,2022-06-01
CAN 2.75 Jun 22,CA135087ZU15,2020-01-08,102.59,102.58,2.75,2022-06-01
CAN 2.75 Jun 22,CA135087ZU15,2020-01-07,102.57,102.59,2.75,2022-06-01
CAN 2.75 Jun 22,CA135087ZU15,2020-01-06,102.64,102.62,2.75,2022-06-01
CAN 2.75 Jun 22,CA135087ZU15,2020-01-03,102.55,102.59,2.75,2022-06-01
CAN 2.75 Jun 22,CA135087ZU15,2020-01-02,102.59,102.53,2.75,2022-06-01
CAN 1.75 Mar 23,CA135087H490,2020-01-15,100.37,100.38,1.75,2023-03-01
CAN 1.75 Mar 23,CA135087H490,2020-01-14,100.28,100.31,1.75,2023-03-01
CAN 1.75 Mar 23,CA135087H490,2020-01-13,100.32,100.27,1.75,2023-03-01
CAN 1.75 Mar 23,CA135087H490,2020-01-10,100.37,100.31,1.75,2023-03-01
CAN 1.75 Mar 23,CA135087H490,2020-01-09,100.36,100.35,1.75,2023-03-01
CAN 1.75 Mar 23,CA135087H490,2020-01-08,100.47,100.44,1.75,2023-03-01
CAN 1.75 Mar 23,CA135087H490,2020-01-07,100.38,100.45,1.75,2023-03-01
CAN 1.75 Mar 23,CA135087H490,2020-01-06,100.49,100.48,1.75,2023-03-01
CAN 1.75 Mar 23,CA135087H490,2020-01-03,100.39,100.42,1.75,2023-03-01
CAN 1.75 Mar 23,CA135087H490,2020-01-02,100.16,100.31,1.75,2023-03-01
CAN 1.5 Jun 23,CA135087A610,2020-01-15,99.53,99.56,1.5,2023-06-01
CAN 1.5 Jun 23,CA135087A610,2020-01-14,99.46,99.49,1.5,2023-06-01
CAN 1.5 Jun 23,CA135087A610,2020-01-13,99.48,99.44,1.5,2023-06-01
CAN 1.5 Jun 23,CA135087A610,2020-01-10,99.53,99.53,1.5,2023-06-01
CAN 1.5 Jun 23,CA135087A610,2020-01-09,99.71,99.54,1.5,2023-06-01
CAN 1.5 Jun 23,CA135087A610,2020-01-08,99.63,99.62,1.5,2023-06-01
CAN 1.5 Jun 23,CA135087A610,2020-01-07,99.58,99.61,1.5,2023-06-01
CAN 1.5 Jun 23,CA135087A610,2020-01-06,99.66,99.65,1.5,2023-06-01
CAN 1.5 Jun 23,CA135087A610,2020-01-03,99.54,99.59,1.5,2023-06-01
CAN 1.5 Jun 23,CA135087A610,2020-01-02,99.33,99.48,1.5,2023-06-01
CAN 2.25 Mar 24,CA135087J546,2020-01-15,102.54,102.64,2.25,2024-03-01
